  id  | CrewID |   gDate    | CourseID_id | PID_id 
------+--------+------------+-------------+--------
 4561 |      1 | 2025-04-19 |           2 |     15
 4562 |      1 | 2025-04-19 |           2 |     27
 4563 |      1 | 2025-04-19 |           2 |      8
 4564 |      1 | 2025-04-19 |           2 |      2
 4565 |      1 | 2025-04-19 |           3 |     17
 4566 |      1 | 2025-04-19 |           3 |     30
 4567 |      1 | 2025-04-19 |           3 |     23
 4568 |      1 | 2025-04-19 |           3 |     26
 4569 |      1 | 2025-04-19 |           1 |     16
 4570 |      1 | 2025-04-19 |           1 |     10
 4571 |      1 | 2025-04-19 |           1 |     13
 4572 |      1 | 2025-04-19 |           1 |      6
 4574 |      1 | 2025-04-26 |           2 |     23
 4575 |      1 | 2025-04-26 |           2 |     20
 4576 |      1 | 2025-04-26 |           2 |     10
 4577 |      1 | 2025-04-26 |           3 |     22
 4578 |      1 | 2025-04-26 |           3 |      6
 4579 |      1 | 2025-04-26 |           3 |     29
 4581 |      1 | 2025-04-26 |           1 |      9
 4582 |      1 | 2025-04-26 |           1 |     18
 4583 |      1 | 2025-04-26 |           1 |     16
 4584 |      1 | 2025-04-26 |           1 |     24
 4585 |      1 | 2025-05-03 |           2 |     11
 4586 |      1 | 2025-05-03 |           2 |      8
 4587 |      1 | 2025-05-03 |           2 |     26
 4589 |      1 | 2025-05-03 |           3 |     24
 4590 |      1 | 2025-05-03 |           3 |      4
 4592 |      1 | 2025-05-03 |           3 |     13
 4580 |      1 | 2025-04-26 |           3 |      1
 4588 |      1 | 2025-05-03 |           2 |     19
 4593 |      1 | 2025-05-03 |           1 |     27
 4594 |      1 | 2025-05-03 |           1 |     14
 4595 |      1 | 2025-05-03 |           1 |     22
 4596 |      1 | 2025-05-03 |           1 |     15
 4597 |      1 | 2025-05-10 |           2 |     30
 4599 |      1 | 2025-05-10 |           2 |     24
 4601 |      1 | 2025-05-10 |           3 |     12
 4603 |      1 | 2025-05-10 |           3 |     11
 4604 |      1 | 2025-05-10 |           3 |      8
 4605 |      1 | 2025-05-10 |           1 |     23
 4606 |      1 | 2025-05-10 |           1 |     28
 4607 |      1 | 2025-05-10 |           1 |     29
 4608 |      1 | 2025-05-10 |           1 |     17
 4609 |      1 | 2025-05-17 |           2 |     10
 4610 |      1 | 2025-05-17 |           2 |      2
 4611 |      1 | 2025-05-17 |           2 |     28
 4612 |      1 | 2025-05-17 |           2 |     22
